,Unnamed: 0,Date Time,Water Level,SiteID,Source,Date,Time,Identifier
0,120,2020-04-30 12:54:00-04:00,4.862,8551910,NOAA,2020-04-30,2023-04-16 12:54:00,8551910-2020-120
1,216,2020-08-04 07:30:00-04:00,4.836,8551910,NOAA,2020-08-04,2023-04-16 07:30:00,8551910-2020-216
2,229,2020-08-17 17:36:00-04:00,4.652,8551910,NOAA,2020-08-17,2023-04-16 17:36:00,8551910-2020-229
3,144,2017-05-25 18:42:00-04:00,4.849,8551910,NOAA,2017-05-25,2023-04-16 18:42:00,8551910-2017-144
4,205,2017-07-24 20:12:00-04:00,4.642,8551910,NOAA,2017-07-24,2023-04-16 20:12:00,8551910-2017-205
5,262,2017-09-19 16:00:00-04:00,4.583,8557380,NOAA,2017-09-19,2023-04-16 16:00:00,8557380-2017-262
6,303,2020-10-30 03:36:00-04:00,4.531,8557380,NOAA,2020-10-30,2023-04-16 03:36:00,8557380-2020-303
7,2249,2016-01-10 03:54:00-05:00,4.51,1484085,USGS,2016-01-10,2023-04-16 08:54:00,01484085-2016-2249
8,8491,2016-02-09 04:06:00-05:00,4.65,1484085,USGS,2016-02-09,2023-04-16 09:06:00,01484085-2016-8491
9,63198,2016-09-29 04:54:00-04:00,4.54,1484085,USGS,2016-09-29,2023-04-16 08:54:00,01484085-2016-63198
10,35453,2021-05-28 20:12:00-04:00,4.5,1484085,USGS,2021-05-29,2023-04-16 00:12:00,01484085-2021-35453
11,72269,2021-10-29 10:06:00-04:00,4.57,1484085,USGS,2021-10-29,2023-04-16 14:06:00,01484085-2021-72269
12,166,2022-06-15 20:18:00-04:00,4.659,8551910,NOAA,2022-06-15,2023-04-16 20:18:00,8551910-2022-166
13,251,2022-09-08 17:36:00-04:00,4.669,8551910,NOAA,2022-09-08,2023-04-16 17:36:00,8551910-2022-251
14,358,2022-12-23 05:54:00-05:00,5.318,8551910,NOAA,2022-12-23,2023-04-16 05:54:00,8551910-2022-358
15,64,2018-03-06 09:30:00-05:00,4.688,8551910,NOAA,2018-03-06,2023-04-16 09:30:00,8551910-2018-64
16,105,2018-04-16 07:12:00-04:00,5.125,8551910,NOAA,2018-04-16,2023-04-16 07:12:00,8551910-2018-105
17,221,2018-08-10 18:24:00-04:00,4.577,8551910,NOAA,2018-08-10,2023-04-16 18:24:00,8551910-2018-221
18,251,2018-09-09 19:18:00-04:00,5.65,8551910,NOAA,2018-09-09,2023-04-16 19:18:00,8551910-2018-251
19,266,2018-09-24 19:06:00-04:00,4.58,8551910,NOAA,2018-09-24,2023-04-16 19:06:00,8551910-2018-266
20,299,2018-10-27 08:36:00-04:00,4.797,8551910,NOAA,2018-10-27,2023-04-16 08:36:00,8551910-2018-299
21,320,2018-11-26 08:36:00-05:00,5.19,8551910,NOAA,2018-11-26,2023-04-16 08:36:00,8551910-2018-320
22,2,2022-01-03 04:18:00-05:00,4.885,8557380,NOAA,2022-01-03,2023-04-16 04:18:00,8557380-2022-2
23,107,2022-04-18 17:54:00-04:00,4.711,8557380,NOAA,2022-04-18,2023-04-16 17:54:00,8557380-2022-107
24,274,2022-10-02 10:12:00-04:00,4.452,8557380,NOAA,2022-10-02,2023-04-16 10:12:00,8557380-2022-274
25,251,2018-09-09 16:36:00-04:00,5.249,8557380,NOAA,2018-09-09,2023-04-16 16:36:00,8557380-2018-251
26,299,2018-10-27 05:48:00-04:00,4.892,8557380,NOAA,2018-10-27,2023-04-16 05:48:00,8557380-2018-299
27,18708,2019-03-21 18:00:00-04:00,4.63,1484085,USGS,2019-03-21,2023-04-16 22:00:00,01484085-2019-18708
28,29512,2019-05-05 19:12:00-04:00,4.5,1484085,USGS,2019-05-05,2023-04-16 23:12:00,01484085-2019-29512
29,67311,2019-10-10 16:30:00-04:00,4.52,1484085,USGS,2019-10-10,2023-04-16 20:30:00,01484085-2019-67311
30,22,2016-01-23 03:24:00-05:00,6.627,8557380,NOAA,2016-01-23,2023-04-16 03:24:00,8557380-2016-22
31,38,2016-02-08 03:36:00-05:00,4.439,8557380,NOAA,2016-02-08,2023-04-16 03:36:00,8557380-2016-38
32,272,2016-09-29 15:48:00-04:00,4.38,8557380,NOAA,2016-09-29,2023-04-16 15:48:00,8557380-2016-272
33,31,2021-02-01 06:24:00-05:00,4.567,8557380,NOAA,2021-02-01,2023-04-16 06:24:00,8557380-2021-31
34,148,2021-05-29 19:24:00-04:00,4.419,8557380,NOAA,2021-05-29,2023-04-16 19:24:00,8557380-2021-148
35,301,2021-10-29 10:48:00-04:00,4.449,8557380,NOAA,2021-10-29,2023-04-16 10:48:00,8557380-2021-301
36,5852,2020-01-25 04:30:00-05:00,4.54,1484085,USGS,2020-01-25,2023-04-16 09:30:00,01484085-2020-5852
37,68381,2020-10-12 14:18:00-04:00,4.65,1484085,USGS,2020-10-12,2023-04-16 18:18:00,01484085-2020-68381
38,72586,2020-10-30 04:54:00-04:00,4.51,1484085,USGS,2020-10-30,2023-04-16 08:54:00,01484085-2020-72586
39,243,2021-09-01 14:36:00-04:00,5.02,8551910,NOAA,2021-09-01,2023-04-16 14:36:00,8551910-2021-243
40,265,2021-09-23 08:18:00-04:00,4.957,8551910,NOAA,2021-09-23,2023-04-16 08:18:00,8551910-2021-265
41,300,2021-10-28 12:12:00-04:00,4.843,8551910,NOAA,2021-10-28,2023-04-16 12:12:00,8551910-2021-300
42,9,2016-01-10 06:24:00-05:00,4.836,8551910,NOAA,2016-01-10,2023-04-16 06:24:00,8551910-2016-9
43,22,2016-01-23 06:18:00-05:00,4.764,8551910,NOAA,2016-01-23,2023-04-16 06:18:00,8551910-2016-22
44,38,2016-02-08 18:24:00-05:00,4.623,8551910,NOAA,2016-02-08,2023-04-16 18:24:00,8551910-2016-38
45,55,2016-02-24 19:30:00-05:00,4.633,8551910,NOAA,2016-02-24,2023-04-16 19:30:00,8551910-2016-55
46,125,2016-05-05 18:18:00-04:00,4.659,8551910,NOAA,2016-05-05,2023-04-16 18:18:00,8551910-2016-125
47,272,2016-09-29 18:36:00-04:00,4.606,8551910,NOAA,2016-09-29,2023-04-16 18:36:00,8551910-2016-272
48,570,2022-01-03 04:12:00-05:00,4.52,1484085,USGS,2022-01-03,2023-04-16 09:12:00,01484085-2022-570
49,24942,2022-04-18 18:24:00-04:00,4.55,1484085,USGS,2022-04-18,2023-04-16 22:24:00,01484085-2022-24942
50,283,2019-10-10 14:48:00-04:00,4.537,8557380,NOAA,2019-10-10,2023-04-16 14:48:00,8557380-2019-283
51,22947,2018-04-15 16:42:00-04:00,4.63,1484085,USGS,2018-04-15,2023-04-16 20:42:00,01484085-2018-22947
52,30887,2018-05-18 20:06:00-04:00,4.51,1484085,USGS,2018-05-19,2023-04-16 00:06:00,01484085-2018-30887
53,57943,2018-09-08 16:24:00-04:00,4.58,1484085,USGS,2018-09-08,2023-04-16 20:24:00,01484085-2018-57943
54,69580,2018-10-27 06:18:00-04:00,4.74,1484085,USGS,2018-10-27,2023-04-16 10:18:00,01484085-2018-69580
55,76784,2018-11-26 06:36:00-05:00,4.59,1484085,USGS,2018-11-26,2023-04-16 11:36:00,01484085-2018-76784
56,55,2019-03-21 19:36:00-04:00,4.797,8551910,NOAA,2019-03-21,2023-04-16 19:36:00,8551910-2019-55
57,259,2019-10-10 17:30:00-04:00,4.921,8551910,NOAA,2019-10-10,2023-04-16 17:30:00,8551910-2019-259
58,276,2019-10-27 06:24:00-04:00,4.721,8551910,NOAA,2019-10-27,2023-04-16 06:24:00,8551910-2019-276
59,278,2019-10-29 08:00:00-04:00,4.564,8551910,NOAA,2019-10-29,2023-04-16 08:00:00,8551910-2019-278
